state,Total Ev,Total non Ev,Average Income(INR),BusinessRanking
 Andaman & Nicobar Island ,162,"1,46,945",218000,22
 Arunachal Pradesh        ,20,"2,52,965",192360,29
 Assam                    ,"64,766","46,77,053",86857,20
 Bihar                    ,"83,335","1,04,07,078",43605,26
 Chandigarh               ,"2,812","7,46,881",292977,29
 Chhattisgarh             ,"20,966","68,36,200",104943,6
 Delhi                    ,"1,56,393","76,85,600",344136,12
 Goa                      ,"3,870","10,71,570",431351,24
 Gujarat                  ,"45,272","2,06,05,484",212821,10
 Haryana                  ,"37,035","1,07,78,270",235707,16
 Himachal Pradesh         ,"1,175","19,64,754",183333,7
 Jammu and Kashmir        ,"2,941","18,69,962",102803,21
 Jharkhand                ,"16,811","64,86,937",71071,5
 Karnataka                ,"1,20,532","2,68,70,303",236451,17
 Kerala                   ,"30,775","1,57,74,078",205067,28
 Ladakh                   ,26,"38,302",144000,24
 Maharashtra              ,"1,16,646","3,10,58,990",193121,13
 Manipur                  ,586,"4,99,324",87832,29
 Meghalaya                ,49,"4,59,001",84638,29
 Mizoram                  ,21,"3,15,626",144394,25
 Nagaland                 ,58,"3,39,129",123385,29
 Odisha                   ,"23,371","98,45,073",101501,29
 Puducherry               ,"2,149","12,13,735",206888,27
 Punjab                   ,"14,804","1,24,63,019",149894,19
 Rajasthan                ,"81,338","1,73,27,388",115933,8
 Sikkim                   ,21,"97,189",424450,29
 Tamil Nadu               ,"82,051","2,98,42,376",212174,14
 Tripura                  ,"9,262","6,50,026",119789,29
 UT of DNH and DD         ,183,"3,07,671",234123,21
 Uttarakhand              ,"31,008","33,12,041",182698,11
 Uttar Pradesh            ,"3,37,180","4,00,92,490",61666,2
 West Bengal              ,"48,767","1,41,34,171",121267,9
